road_condition,contract_area_m2,contract_period,building_age,contract_year,contract_month,갈현동,고등동,금광동,금토동,단대동,도촌동,복정동,사송동,산성동,상대원동,상적동,성남동,수진동,시흥동,신촌동,신흥동,심곡동,양지동,여수동,오야동,은행동,중앙동,창곡동,태평동,하대원동,deposit
1.0,0.9245548404180265,1,-0.953297793556296,2024,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2139841532164793
0.0,-1.549618222173703,2,0.31632930767658735,2024,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.193558474515761
0.0,-0.7078892421167229,2,0.5883922579407767,2024,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.1177677176378713
0.0,-0.605861486958301,2,0.5883922579407767,2024,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.10571164339092234
0.0,0.30014497884848473,2,0.40701695776465047,2024,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-0.21910588608574852
0.0,1.4989711019599417,2,0.22564165758852425,2024,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.4305291728675932
0.0,-0.42017097256997327,2,0.31632930767658735,2024,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-0.2624148900159713
0.0,3.1895710049349915,2,0.40701695776465047,2024,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.32225666304203626
0.0,-1.3807622873865149,2,0.6790799080288398,2024,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-0.9228771999518687
0.0,0.08384613791263072,2,0.40701695776465047,2024,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-0.6521959253879763
0.0,0.5950051912563239,2,0.40701695776465047,2024,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-0.9228771999518687
0.0,-0.5788241318413192,2,0.49770460785271353,2024,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-0.6521959253879763
0.0,0.34656760744556686,2,0.31632930767658735,2024,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-0.21910588608574852
0.0,0.024670039920745877,2,0.22564165758852425,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.21910588608574852
1.0,1.4602005549997412,2,0.04426635741239807,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.21910588608574852
0.0,0.44961564015557276,2,0.6790799080288398,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.07322989044325526
0.0,1.0168899588363984,2,1.6766440589975338,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.10571164339092234
0.0,0.6113296320816715,2,0.49770460785271353,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.11083337626019156
0.0,-0.5273001154863163,2,0.6790799080288398,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.5980596704751978
