road_condition,contract_area_m2,contract_period,building_age,Galhyeon,Godeung,Geumgwang,Geumto,Dandae,Dochon,Bokjeong,Sasong,Sanseong,Sangdaewon,Sangjeok,Seongnam,Sujin,Siheung,Sinchon,Sinhung,Simgok,Yangji,Yeosu,Oya,Eunhaeng,Jungang,Changok,Taepyeong,Hadaewon,deposit
0.0,0.47578020294849704,0.3333333333333333,0.40701695776465047,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,17000
0.0,0.04695577254451464,0.3333333333333333,0.6790799080288398,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,5500
0.0,0.18437679494543366,0.3333333333333333,0.40701695776465047,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,8000
0.0,0.23233773693279725,0.3333333333333333,0.40701695776465047,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,5500
0.0,0.12219988512349225,0.3333333333333333,0.49770460785271353,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,8000
0.0,0.20902737890101475,0.3333333333333333,0.31632930767658735,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,12000
0.0,0.17882443040398238,0.3333333333333333,0.22564165758852425,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12000
1.0,0.31351713574573997,0.3333333333333333,0.04426635741239807,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12000
0.0,0.21869615163699024,0.3333333333333333,0.6790799080288398,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14700
0.0,0.2719222668964197,0.3333333333333333,1.6766440589975338,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15000
0.0,0.23386942370285274,0.3333333333333333,0.49770460785271353,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13000
0.0,0.12703427149147997,0.3333333333333333,0.6790799080288398,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8500
0.0,0.023932605782117554,0.3333333333333333,1.1325181584691553,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3000
0.0,0.10626076967260195,0.3333333333333333,0.7697675581169028,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8600
0.0,0.09573042312847022,0.3333333333333333,-0.7719224933801698,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7000
0.0,0.24243729657285085,0.3333333333333333,1.85801935917366,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18000
0.0,0.30365690216350755,0.3333333333333333,-0.13710894276372812,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14000
0.0,0.12689067585678726,0.3333333333333333,1.0418305083810921,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13000
0.0,0.14359563469270534,0.3333333333333333,0.22564165758852425,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10000
1.0,0.025703618609994254,0.3333333333333333,0.8604552082049659,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4000
0.0,0.4030250813708597,0.3333333333333333,1.0418305083810921,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18000
1.0,0.22085008615738083,0.3333333333333333,0.49770460785271353,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14000
0.0,0.07179781734635268,0.3333333333333333,1.1325181584691553,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5000
1.0,0.2445433658816772,0.3333333333333333,-2.3136125448772424,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,30000
0.0,0.12765651924181506,0.3333333333333333,0.5883922579407767,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9500
0.0,0.12765651924181506,0.3333333333333333,0.5883922579407767,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9500
0.0,0.14373923032739805,0.3333333333333333,0.6790799080288398,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7000
1.0,0.2552651732720658,0.3333333333333333,0.40701695776465047,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3900
1.0,0.2552651732720658,0.3333333333333333,0.40701695776465047,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3900
0.0,0.15388665517901587,0.3333333333333333,0.5883922579407767,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4700
0.0,0.23516178441508712,0.3333333333333333,-0.5905471932040436,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13000
0.0,0.18188780394409343,0.3333333333333333,0.49770460785271353,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10000
0.0,0.11966302891058778,0.3333333333333333,-0.6812348432921067,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8000
0.0,0.15015316867700554,0.3333333333333333,0.49770460785271353,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8000
0.0,0.2104633352479418,0.3333333333333333,0.6790799080288398,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13000
0.0,0.15048822515795518,0.3333333333333333,0.6790799080288398,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12000
1.0,0.23932605782117555,0.3333333333333333,-1.4974236940846746,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,32000
2.0,0.3280681600612675,0.3333333333333333,-1.4974236940846746,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,30300
2.0,0.3280681600612675,0.3333333333333333,-1.4974236940846746,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,30100
2.0,0.22496649435190502,0.3333333333333333,-1.4974236940846746,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,26000
1.0,0.14359563469270534,0.3333333333333333,-1.2253607438204852,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18000
1.0,0.14359563469270534,0.3333333333333333,-1.2253607438204852,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18000
1.0,0.07514838215584912,0.3333333333333333,-1.4067360439966115,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8800
1.0,0.2871912693854107,0.3333333333333333,-1.2253607438204852,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27300
1.0,0.26325866360329314,0.3333333333333333,-1.4974236940846746,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,25000
0.0,0.11966302891058778,0.3333333333333333,0.7697675581169028,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,12000
0.0,0.1675282404748229,0.3333333333333333,0.5883922579407767,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5000
0.0,0.23645414512732144,0.3333333333333333,0.6790799080288398,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,14000
0.0,0.09730997511008999,0.3333333333333333,0.8604552082049659,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,10000
0.0,0.16637947539728123,0.3333333333333333,1.1325181584691553,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3000
0.0,0.22640245069883208,0.3333333333333333,0.31632930767658735,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,12000
0.0,0.19739613249090562,0.3333333333333333,0.5883922579407767,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,22000
1.0,0.19146084625694046,0.3333333333333333,-1.95086194452499,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,22000
0.0,0.11966302891058778,0.3333333333333333,-0.4998595431159805,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,13000
3.0,0.19146084625694046,0.3333333333333333,0.13495400750046116,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,9000
0.0,0.13340034462952324,0.3333333333333333,-0.4998595431159805,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,8000
1.0,0.34970323568830175,0.3333333333333333,-0.7719224933801698,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,30000
0.0,0.12588550641393834,0.3333333333333333,0.5883922579407767,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,13000
1.0,0.21946199502201802,0.3333333333333333,0.22564165758852425,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,15750
3.0,0.01531686770055523,0.3333333333333333,-1.769486644348864,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,8000
0.0,0.11966302891058778,0.3333333333333333,-0.2277965928517912,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,9000
0.0,0.08309400727551214,0.3333333333333333,-0.5905471932040436,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,6000
0.0,0.047865211564235115,0.3333333333333333,-2.132237244701116,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7500
0.0,0.014359563469270538,0.3333333333333333,-2.132237244701116,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7500
0.0,0.13703810070840514,0.3333333333333333,1.1325181584691553,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,3000
0.0,0.12588550641393834,0.3333333333333333,0.7697675581169028,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,8000
0.0,0.15288148573616694,0.3333333333333333,-2.0415495946130533,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,25000
1.0,0.23453953666475208,0.3333333333333333,-1.95086194452499,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,25000
1.0,0.22640245069883208,0.3333333333333333,-1.95086194452499,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,26250
0.0,0.09573042312847022,0.3333333333333333,0.04426635741239807,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,10000
1.0,0.2680451847597166,0.3333333333333333,0.5883922579407767,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,25000
1.0,0.2440168485544706,0.3333333333333333,-1.95086194452499,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,35000
1.0,0.2440168485544706,0.3333333333333333,-1.95086194452499,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,35000
1.0,0.2488991001340226,0.3333333333333333,-0.4091718930279174,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,13800
0.0,0.04260003829216925,0.3333333333333333,0.951142858293029,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,11000
0.0,0.05265173272065863,0.3333333333333333,0.31632930767658735,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7000
1.0,0.2996362243921118,0.3333333333333333,-1.95086194452499,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,24500
0.0,0.4342810645223052,0.3333333333333333,-2.132237244701116,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,40000
0.0,0.0430786904078116,0.3333333333333333,0.7697675581169028,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,6000
1.0,0.33050928585104344,0.3333333333333333,0.04426635741239807,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,20000
1.0,0.19624736741336396,0.3333333333333333,-1.95086194452499,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,29000
0.0,0.04690790733295041,0.3333333333333333,0.951142858293029,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,5200
0.0,0.2156327780968792,0.3333333333333333,0.7697675581169028,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,17000
0.0,0.04690790733295041,0.3333333333333333,0.951142858293029,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,5200
0.0,0.2156327780968792,0.3333333333333333,0.7697675581169028,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,17000
0.0,0.2680451847597166,0.6666666666666666,0.6790799080288398,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,18000
0.0,0.11032931265556192,0.3333333333333333,-0.13710894276372812,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,9000
0.0,0.2307581849511775,0.3333333333333333,-0.5905471932040436,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,10000
0.0,0.21122917863296958,0.16666666666666666,-2.0415495946130533,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,23000
0.0,0.047865211564235115,0.3333333333333333,-2.132237244701116,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7000
0.0,0.24593145701704,0.3333333333333333,1.2232058085572184,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,10000
0.0,0.21759525177101285,0.3333333333333333,-0.04642129267566503,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,20000
0.0,0.11008998659774075,0.3333333333333333,-0.4998595431159805,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,9000
0.0,0.21759525177101285,0.3333333333333333,-0.04642129267566503,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,20000
0.0,0.09453379283936433,0.3333333333333333,1.5859564089094706,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7800
0.0,0.2503350564809496,0.16666666666666666,-0.5905471932040436,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,12000
0.0,0.24411257897759908,0.3333333333333333,0.22564165758852425,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,15000
